기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
비앤이소음컨설팅연구소,한국폴리텍Ⅴ대학,이주엽,454-81-00166,,서비스,
비에이에너지,전남대학교,강태영,409-86-47133,에너지,제조업/에너지저장장치 제조업(건축용 플라스틱 조립제품 제조업),광주광역시 북구 첨단연신로 12 (연제동) B동 2층
비에이에너지랩,전남대학교,강태영,534-87-00595,,신재생에너지 및 건설자재,"광주 북구 첨단연신로 12, 1층"
비온시이노베이터,전남대학교,김용수,409-81-90412,스마트뿌리,로봇제품 및 부품,"전남 나주시 그린로 229, 5층 501호, 502호"
비유화,조선대학교,김하나,219-10-22155,,전문과학지식서비스업,
비일비재,조선대학교,신경아,835-52-00142,,인쇄 출판 기획,
비피도,전남대학교,권빈,119-81-32746,바이오헬스,건강기능식품 제조업,
사단법인 한국스마트이모빌리티협회,전남대학교,주영진,117-82-71677,모빌리티,서비스,전남 영광군 대마면 전기차1로 119-4 e-모빌리티연구센터 (57055)
사단법인 한국팹리스산업협회,조선대학교,이서규,603-82-13130,,연구개발,
사단법인국가지역경쟁력연구원,조선대학교,장효천,138-82-03778,,"학술연구, 조사, 교육",
사랑의 액자,조선대학교,이수환,408-02-13324,,"제조, 소매",
사우스포게임즈,전남대학교,박상우,282-87-01067,,유선 온라인 게임 소프트웨어 개발 및 공급업,
사회적기업유비에코,전남대학교,이승용,411-81-66841,스마트뿌리,조명기구/제조업,전남 목포시 대양산단로 149번길 28 (유)사회적기업 유비에코 (대양동)
산양화학,전남대학교,정익규,620-81-14025,스마트뿌리,제조업,"울산 울주군 삼남읍 가천지내길 21-3 산양화학 (가천리, (주)산양화학)"
삼아기획,조선대학교,정도경,201-15-50918,,"제조업, 정보통신업, 디자인 광고",
삼원에스티에스,전남대학교,"원충국, 천경수",410-86-68948,스마트뿌리,"도소매, 제조업, 부품산업/ 스텐제품, 선박부품",광주 광산구 하남산단8번로 105 삼원에스티에스㈜ (안청동)
삼일티엔씨,서영대학교,선영태,408-81-68708,,도매 및 소매업(의약품),
삼호콘크리트,전남대학교,신을호,409-81-64710,스마트뿌리,제조/조립구조제,전라남도 담양군 금성면 담순로 463 (금성면) 덕성리348-8
상그릴라요양병원,조선간호대학교,오용택 외 9명,410-82-22492,,보건업 및 사회복지 서비스업,
상무병원,조선간호대학교,김세열,410-90-37952,,보건업 및 사회복지 서비스업,
새만금화학,전남대학교,황성진,609-88-01764,스마트뿌리,제조업,전북군산시 산단동서로 144 오식도동
샐그램,전남대학교,김청수,510-15-65407,문화콘텐츠,소매(즉석판매제조) / 즉석섭취식품,광주광역시 남구 진다리로 50 (백운동) 샐그램
생각과생활,전남대학교,박지아,768-87-01197,메디헬스,제조,"광주광역시 광산구 하남산단천변좌로19, 209호 (62215)"
샤인빌리지,전남대학교,김주영,230-81-12858,문화콘텐츠,서비스/광고대행업,광주광역시 북구 서암대로 28 (운암동) 2층
서림정보통신,조선대학교,장온정,429-88-00422,,정보통신업,
서흥,전남대학교,양주환,130-81-00576,바이오헬스,완제 의약품 제조업,
선우씨앤비,전남대학교,임선우,381-81-03225,메디헬스,건강기능식품/도소매,"광주 광산구 월계로 195 상가동 5층 505호 (월계동, 첨단 AM-City 스카이 하이)"
선유라탑무용학원,조선대학교,선유라,409-97-02146,,교육서비스업,
선한병원,조선간호대학교,최민선,521-31-00103,,보건업 및 사회복지 서비스업,
성원정보통신,전남대학교,정재한,409-86-42628,데이터,정보통신,광주 북구 양산택지로33번길 10-1 (주)성원정보통신 (양산동)
성호전자,전남대학교,박성재,119-81-02505,스마트뿌리,제조업,
세르보테크,조선대학교,안병곤,263-87-02916,,제조업,
세방리튬배터리,동강대학교,오홍섭,132-86-34999,,제조업,
세방전지,동강대학교,박정희,220-81-00490,,제조업,
세이가쿠샤코리아,조선대학교,김명홍,459-87-01181,,교육서비스업,
세이브어스,조선대학교,최영순,673-88-02949,,제조업,
세이프모션,전남대학교,오치민,450-87-02150,데이터,정보통신업/응용소프트웨어개발,광주 북구 첨단과기로208번길 43-10 B동 424호
세종요양병원,조선간호대학교,구제길,408-82-21049,,보건업 및 사회복지 서비스업,
센트라,전남대학교,김성환,281-86-00715,,기체 여과기 제조업(실내 오염물질 측정시스템),서울특별시 강남구 역삼로 122 하나빌딩 센트라
손길공방,전남대학교,이남희,408-08-87056,스마트뿌리,제조업,광주광역시 동구 경양로 362-1 (산수동) 1층
솔젠트,전남대학교,석도수,314-81-35450,바이오헬스,"바이오, 체외진단, 유전체 분석",
수소텍,전남대학교,박다은,266-70-00544,스마트뿌리,제조업/수산소 배기가스 저감장치,"충남 예산군 예산읍 수철길 10 자동차센터 111호 (신례원리, 충남테크노파크)"
수아인,전남대학교,김상훈,417-10-72263,메디헬스,도소매/보조사료,"경기도 성남시 분당구 판교로446, 1층"
쉐어플랫,전남대학교,이지훈,738-88-02533,스마트뿌리,산업용로봇제조업,"광주 북구 첨단과기로208번길 43-10 마루힐아이비씨지식산업센터, A동 407호 (오룡동)"
스노우베어,전남대학교,백정선,454-86-00031,모빌리티,제조/자동차용품,"광주 북구 첨단벤처소로 51 (월출동, 전남과학대창업보육센터) a동 201호"
스마트솔루션,조선대학교,서호영,299-40-00208,,제조업,
스마트큐브,전남대학교,임지숙,126-86-81804,데이터,서비스업/학술연구용역,전남 나주시 우정로 10 바동 201호 (빛가람동)
스위치온,전남대학교,김형민,237-81-02555,스마트뿌리,도매 및 소매업/ 제조업,광주 북구 중픙동 662-12 스위치온 J
스타비스코리아,조선대학교,이덕재,107-87-41787,,서비스업,
스템셀바이오,전남대학교,정한성,629-87-02718,문화콘텐츠,연구개발업/서비스업,"전라남도 화순군 화순읍 서양로 264, M5-504호 (58128)"
스토리북/STORYBOOK,조선대학교,진명섭,509-91-01649,,정보통신업,
스튜디오IDT,조선대학교,조정필,575-28-01088,,미디어콘텐츠 제작,
스펄스엠텍,전남대학교,설영윤,627-85-01456,스마트뿌리,제조/선박구성부분품,전남 영암군 삼호읍 대불주거3로 55 조선산업지원센터 511호 (용앙리)
스페이스플래닝,전남대학교,정현우,583-86-02341,메디헬스,도소매 / 전자상거래 소매 중개업,광주 동구 금남로 193-12 AI창업캠프2호점 303호 (금남로4가)
시온미디어,조선대학교,진시영,379-87-00547,,비디오물제작업,
신가병원,서영대학교,이준영,410-11-86287,,보건업(종합병원),
신성테크,전남대학교,임은섭,410-81-83186,메디헬스,제조업/자동차부품 및 의료기기,광주 광산구 오선동 572 (주)신성테크
신성티케이,전남대학교,임은섭,410-86-88342,,사물인터넷(IOT) 기반 스마트 수액 모니터링 시스템,
신원,서영대학교,최우원,409-81-89856,,도매 및 소매업(의약품 소매업),
신호엔지니어링,전남대학교,임수연,408-81-59927,스마트뿌리,제조업외/태양광발전외,전남 여수시 소라면 섬단철길 110 신호엔지니어링 (복산리)
신호엔지니어링,한국폴리텍Ⅴ대학,임수연,408-81-59927,,제조업,
쌍촌종합사회복지관,서영대학교,김천수,410-82-05611,,사회복지업,
써니팩토리,조선대학교,이지훈,220-13-00870,,소프트웨어개발 및 공급업,
써니팩토리,전남대학교,이지훈,220-13-00870,AI,정보서비스/소프트웨어개발,"광주광역시 동구 동계천로 150, 504호 (61436)"
썬더테크놀로지,전남대학교,김관웅,407-81-12633,문화콘텐츠,"음향기기, 방송장비/제조,설치",전북 전주시 덕지구 금상길 176-12 ㈜썬더테크놀로지 (금상동)
씨디에스디,전남대학교,고명혜,111-86-02340,스마트뿌리,"제조업 외/선박및조선기자재 설계제작, 콘텐츠 개발 외",부산 강서구 녹산산단232로 38-6 창업보육센터 203호 (송정동)
씨앤비,전남대학교,김정호,212-88-01255,스마트뿌리,축전지 제조/제조업,"광주광역시 북구 첨단과기로 333, 308-1호 (61008)"
씨앤이,조선대학교,윤신요,344-88-02717,,제조업,
씨앤큐어,전남대학교,민정준/박중곤,753-87-01313,바이오헬스,"완제 의약품 제조업, 생명공학 회사, 약물 개발",
씨에스에프,전남대학교,김정호,565-81-02033,데이터,전력변환장치,"광주 광산구 남부대길 38 창업보육센터 8407 (월계동, 협동관)"
씨엔원,전남대학교,정재학,135-86-00130,스마트뿌리,제조업,경기 화성시 동탄산단7길 98-17 (주)씨엔원 (방교동)
씨클린,조선대학교,김지윤,527-42-00621,,친환경EPP,
씨티엔에스,전남대학교,권기정,307-81-50055,스마트뿌리,제조업,경남 창원시 의창구 평산로 23 641호(신화테크노밸리) (팔용동)
아가페실버센터,조선간호대학교,김정희,408-82-65519,,보건업 및 사회복지 서비스업,
아람하이텍,전남대학교,정영대,121-72-00283,스마트뿌리,LED조명/제조업,"광주광역시 광산구 남부대길 38 (월계동, 협동관) 남부대학교 창업보육센터 8206호"
아루카,조선대학교,이동한,760-88-02729,,도소매/ 제조,
아름다운상상,전남대학교,선숙현,626-88-02166,문화콘텐츠,교육서비스업/미용교육,"광주 서구 상무누리로 33 근린생활시설21호 (치평동, 갤러리 303)"
아성,전남대학교,장아성,852-87-02792,메디헬스,도매 및 서비스,광주 서구 화개중앙로 45-1 2층 (금호동)
아우름바이오,전남대학교,"안영근,김용숙",895-81-02365,,중간엽줄기세포 심근유사세포 분화,전남 화순군 화순읍 서양로 264 의생명과학융합센터 기초연구동 621호
아이디에스,조선대학교,김은영,111-71-00256,,"전기,전자공학 연구개발업, 시스템 소프트웨어 개발 및 공급업",
아이맘아동병원,조선간호대학교,조춘호,706-12-00061,,보건업 및 사회복지 서비스업,
아이오티플러스,전남대학교,박영철,390-88-01841,스마트뿌리,"교육용 기자재 관련 기타 주변기기, 멀티미디어학습장치, 제조업, 도매 및 소매업","전라남도 나주시 교육길 13, F동 301호, 402호(빛가람동, 스마트파크지식산업센터)"
아이캡틴,전남대학교,김현철,286-87-01278,문화콘텐츠,엔지니어링 연구개발 및 컨설팅 / 서비스업,인천 미추홀구 경원대로834번길 27-12 주안동 NS빌딩 302호 (주안동)
아이코어 이앤시,전남대학교,"구천리, 김욱현",142-81-28238,에너지,"전기전자및통신관련엔지니어링서비스업/전문,과학및기술서비스업","서울 서초구 바우뫼로37길 30 6층 (양재동, 위메스 빌딩)"
아이티스퀘어,전남대학교,정규형,123-86-47073,스마트뿌리,제조업/전자상거래업,"광주 북구 첨단과기로 333 사업화1동 2층 202-1호 (대촌동, 광주테크노파크)"
아이피커넥트,전남대학교,성상규,379-86-02999,문화콘텐츠,"전문,과학 및 기술서비스업/ 사업 및 무형 재산권 중개업",대전 서구 도안북로 88 창업진흥센터 오1-324 (도안동)
아인컨설팅,전남대학교,김지현,381-35-00838,문화콘텐츠,교육서비스업,광주 서구 내방로442 301호 (농성동)
아토모스,전남대학교,신준섭,241-86-00094,문화콘텐츠,서비스/광고대행,"광주 북구 우치로 233-1, 3층 (61120)"
아페,전남대학교,김관회,218-81-73535,데이터,"교육운영, 컨설팅, 환경, 소프트웨어 개발 및 공급업, 시각제품환경 디자인","광주 광산구 월계로 195 6층 1호 (월계동, 첨단 AM-City 스카이 하이)"
아페,조선대학교,김관회,218-81-73535,,"환경,위생,디자인",
알씨케이,조선대학교,임채광,629-88-01695,,"과학기자재 도소매, 용역서비스",
알엑스오,전남대학교,SOMNAM MANEERAT,631-81-02970,데이터,정보통신업,광주 동구 금남로 238 무등빌등 16층 (금남로2가)
애니듀,전남대학교,이진식,721-87-01674,데이터,정보통신업,전남 나주시 우정로 10 라동 404-1 (기업협력동) (빛가람동)
양동부부태권도,조선대학교,조한우,130-96-47954,,교육서비스,
어썸,조선대학교,박송이,409-23-47351,,전시및행사대행업,
어업회사법인 대유수산,조선대학교,김관욱,393-86-02603,,도소매,
어업회사법인 바다품애,조선대학교,정희진,228-87-02456,,제조업,
어업회사법인가람,조선대학교,김권웅,511-86-01196,,수산물가공제조업 도소매업,
어울림아카데미,조선대학교,신주환,411-81-76510,,기술서비스 교육서비스,
에너지머터리얼즈,전남대학교,박재동,449-86-00698,차세대에너지,축전지 제조업,
에너지와 공조,전남대학교,박재동,408-81-23147,차세대에너지,"태양광 발전장치, 2차전지, 냉/난방기 설치공사, 시스템 에어컨 외",
에너지플래닛,전남대학교,정호영,554-86-00253,차세대에너지,축전지 제조업(ESS 등 에너지 관련 배터리 제조 등),"광주 북구 용봉로 77, 지앤알허브 418호, ㈜에너지플래닛"
에너틱스,전남대학교,정진국,217-88-00474,스마트뿌리,제조업,"광주 북구 문화소통로 170 701(용봉동, 하미스포렉스)"
에드믹바이오,전남대학교,하동헌,172-87-01168,데이터,연구개발업,"서울 서초구 반포대로 222 별관 7107호(반포동, 가톨릭중앙의료원 새병원 및 성의회관)"
에머스,전남대학교,고준일,236-86-00485,,분류 안된 화학제품 제조업(천연미생물 제제),광주광역시 북구 용봉로 77 전남대학교 산학협력공학관 806호 에머스
에스.디.엠,전남대학교,조철연,410-81-96982,스마트뿌리,프레스금형/제조업,광주 북구 첨단벤처로60번길 17 (주)에스.디.엠 (대촌동)
에스비케이 머티리얼즈,전남대학교,이준기,568-81-00581,,전자부품 제조업,
에스씨크리에이티브,전남대학교,이복은,274-81-01685,데이터,정보통신업,"전남 순천시 중앙로 255, B7 707호 B7, 산학협력관 707호 (석현동, 순천대학교)"
에스에이치메디칼,전남대학교,김승현,409-86-23543,바이오헬스,의료용 기기 및 소모품,
에스엔제이솔루션,전남대학교,송성빈,623-88-00174,스마트뿌리,산업용로봇제조/제조업,"광주 북구 첨단과기로 333 생활지원로봇센터 405호 (대촌동, 광주테크노파크)"
에스엠코리아,전남대학교,배문자,410-81-64194,,액체 펌프 제조업,
에스케이스페이스,조선대학교,서두석,418-81-30780,,광학기기,
에스텍,전남대학교,김정현,699-53-00806,스마트뿌리,"제조업, 정보통신업","경기도 화성시 봉담읍 72, 협성대학교 산학협력관 301-나호 (18330)"
에이드올,전남대학교,김제필,481-81-03073,데이터,정보통신업/응용소프트웨어 개발 및 공급업,광주 동구 금남로 193-22 4층 10호 (금남로4가)
에이드올(AidALL),전남대학교,김제필,829-18-02122,데이터,정보통신업/응용 S/W 개발 및 공급업,광주 동구 금남로 193-22 광주 AI창업캠프 1호점 410호 (금남로4가)
에이모스,조선대학교,김혜숙,210-81-76222,,제조업,
에이스에너지,전남대학교,임채윤,194-88-00619,스마트뿌리,제조업외/태양광발전외,광주 서구 무진대로 571-1 에이스에너지 (덕흥동)
에이스에듀,전남대학교,박경수,248-36-00649,스마트뿌리,교육서비스,전북군산시 하나운로20 (54144)
에이스티어 광양사업소,전남대학교,이문수,416-85-28971,스마트뿌리,제조업,전라남도 순천시 해룡면 해룡산단3로 10 (58023)
에이아이엠,조선대학교,최운창,590-81-01952,,산업용로봇제조,
에이엠지그룹건축사사무소,전남대학교,정명철,412-81-22787,,시설물 유지관리 공사업,
에이엠텍,전남대학교,최겸우,178-88-02217,스마트뿌리,"서비스업, 제조업, 도매 및 소매업/기타 플라스틱 제조업","경상남도 진주시 동부로169번길 12, B동 1804호 (52818)"
에이엠티,전남대학교,김진완,409-86-22049,스마트뿌리,"제조업/산업용로봇, 무인항공기및무인비행장치","광주 동구 독립로264번길 25 272호 (대인동, 반도빌딩)"
에이치엠씨(농업회사법인 희망농업기계 ),전남대학교,이리중,412-81-40179,스마트뿌리,"제조/농기계, 철구조물제작",전남 나주시 다시면 문암길 38 (가운리)
에이팀종합건축사사무소,조선대학교,이종석,871-03-02037,,건축사,
에이피테크,전남대학교,최성진,417-81-30147,에너지,"제조, 건설, 도소매, 서비스/자동제어반,계장제어,전기공사,전기전자부품,연구개발서비스","전남 여수시 삼동3길 17 302호 (주삼동, 기업연구관)"
에잇포인트,전남대학교,최휘민,749-01-02264,문화콘텐츠,"전문과학기술서비스업/제품,시각디자인업","광주광역시 북구 삼정로 6 (두암동, 두암 주공 4단지 아파트) 지하상가 청년공작소 2호"
에치에스엠티,전남대학교,이승민,315-23-06472,스마트뿌리,"제조업, 서비스",경기 김포시 양촌읍 학운공단로 49 에치에스엠티 (학운리)
에치에스테크,전남대학교,양재웅,137-81-67428,스마트뿌리,임가공/제조업,경기도 김포시 양촌읍 학운공단로 48 (10049)
에코데이즈,조선대학교,박희연,223-86-02323,,제조업 서비스,
에코드림,전남대학교,김덕규,570-81-02374,스마트뿌리,제조업,"전라남도 광양시 폭포사랑길 99 (금호동, 백운쇼핑센터) (주)에코드림"
에코바,전남대학교,손충림,255-87-00936,,연료전지 기술 및 제조,"광주 북구 용봉로 77, 산학협력공학관 801호"
에코바이오,전남대학교,윤찬재,211-16-17475,스마트뿌리,제조업,전남 함평군 대동면 동항평산단길 147 0 (백호리)
에코솔트,전남대학교,염은선,497-86-02055,스마트뿌리,식품제조가공업/제조업(농식품산업),전남 무안군 몽탄면 몽탄공단길 35 . (학산리)
에코피스,전남대학교,채인원,410-86-69272,스마트뿌리,제조업/녹조제거로봇,광주 북구 첨단벤처소로15번길 7 1층 에코피스 (월출동)
엑스퍼스,전남대학교,김정헌,735-86-01996,데이터,정보통신업,전남 여수시 삼동3길 17 (주삼동) 601-6호
엔바이로젠,전남대학교,김춘섭,417-81-38585,글로벌팜테크,배합 사료 제조업,
엔아이소프트,전남대학교,김욱,410-87-00381,스마트뿌리,제조업/전력변환장치,"광주광역시 서구 염화로 159, 3층(화정동) (62039)"
엔유비즈,전남대학교,이보현,409-86-26424,데이터,소프트웨어자문개발공급/지식서비스,광주광역시 서구 상무평화로 89 (치평동) 상무구영드림빌 203호
엔제이랩,전남대학교,김형열,136-86-02260,,나노카본 및 분산코팅액 제조,"광주광역시 북구 용봉로 77, 산학협력공학관 805호"
엔제이랩,전남대학교,김형열,139-86-02260,스마트뿌리,제조,광주 북구 용봉로77 산학협력공학관 805 용봉동
엔트리생활건강,전남대학교,최윤희,314-86-17267,,"물리, 화학 및 생물학 연구개발업",
엔피케이,전남대학교,김상준,409-86-12459,스마트뿌리,제조업/도소매(건강기능식품 제조업),전남 담양군 담양읍 에코길 61 삼만리 (삼만리)
엔픽플,전남대학교,위대호,713-86-01792,문화콘텐츠,통신판매업,광주광역시 북구 연제외촌길 156 (연제동) 2층
엘앤에이치랩스,전남대학교,이현민,814-86-02018,데이터,소프트웨어 개발 및 공급업,광주 북구 첨단과기로 313 A동 104호 (대촌동)
엘에이치에이피,전남대학교,이지웅,772-88-00520,,동물육종기술개발 및 유통,"광주 북구 용봉로 77, 농업실습교육원 사육장 관리동 준비실"
엠아이원,전남대학교,김태우,119-86-83629,메디헬스,제조외,강원도 원주시 우산공단길 161(26335)
엠아트커뮤니케이션,조선대학교,문경화,507-06-93958,,"미술전시기획, 설치",
엠앤케이,전남대학교,김원상,408-86-10536,문화콘텐츠,서비스업 외/ 소프트웨어 자문 및 공급 외,"광주 동구 금남로 245 (금남로1가, 전일빌딩)"
엠에스건설기술,전남대학교,김건우,221-87-00350,,기타 분류 안된 비금속 광물제품 제조업(내진 및 친환경 건설소재),"광주 북구 용봉로 77, 구조실험동 201호 , ㈜엠에스건설기술"
엠엠허브(MMHUB),전남대학교,김의엽,548-29-01313,데이터,정보통신업,"광주 동구 금남로 245 5층, 521호 (금남로1가)"
엠오그린,조선대학교,정명옥,410-86-51675,,제조업,
엠제이 테크놀로지,조선대학교,김민재,309-48-00398,,인테리어,
엠제이(MJ) 위즈,조선대학교,김명정,383-58-00298,,"시장조사 및 여론조사업, 디자인",
엠투테크,전남대학교,최장호,409-86-24955,스마트뿌리,"제조업/무선통신 장비, 광학기기 외","광주 북구 추암로 249 3D 융합상용화지원센터 302호 (월출동, 테크노파크)"
여정공방,조선대학교,노여정,828-86-02278,,문화예술 체험 및 교육서비스,
여정공방,전남대학교,노여정,828-86-02278,문화콘텐츠,서비스/문화예술체험 및 교육,광주 북구 비엔날레로 68 2층 (용봉동)
영원바란스,조선대학교,김영훈,130-40-92170,,"바란스,기계부품가공",
오곡발효마을,전남대학교,최해성,408-86-02996,스마트뿌리,제조업/발효식품,전남 화순군 동면 먹골길 14-8 오곡발효마을 (오동리)
오디세우스바이오,전남대학교,최현일,678-88-01481,,항암제 개발,"전남 화순군 화순읍 서양로 264, 의생명과학융합센터 기초연구동 408-1호 최현일바이오랩"
오라틱스,전남대학교,윤은섭,120-88-17614,바이오헬스,건강기능식품 제조업,
오로지스튜디오,전남대학교,윤혁진,837-81-01870,데이터,"광고대행업,비디오물제작업/서비스,정보통신업",광주 동구 백서로 177 2층 (서석동)
오로지스튜디오,조선대학교,윤혁진,837-81-01870,,서비스,
오미록,조선대학교,오진영,490-81-01458,,제조업. 도소매. 서비스,
오순덕씨푸드랩,조선대학교,오순덕,780-05-02389,,서비스업,
오스테오시스,전남대학교,안영복,120-81-99219,메디헬스,"의료기기, 장비제조, 도소매","서울 구로구 디지털로 26길 111 901-913호 (구로동, 제이앤케이디지털타워)"
오이솔루션,전남대학교,박용관,409-81-76875,스마트뿌리,제조업,광주 북구 첨단 연신로 30번길 53 오이솔루션 (연제동)
오토웰즈,전남대학교,곽건호,462-88-01791,메디헬스,생체신호 측정 시스템(자동차 분야 연구개발업),"광주 북구 추암로 249 광주테크노파크 치매기술실증센터 209호 (월출동, 테크노파크)"
온테스트,전남대학교,진병진,138-81-46921,반도체,반도체 검사용 장비 및 관련부품 제조 및 판매/제조업,"경기도 용인시 기흥구 흥덕1로 13, 타워동 1001호 (16954)"
올댓네이쳐,전남대학교,박희정,195-88-00591,스마트뿌리,제조업,"광주광역시 북구 첨단과기로 333 (대촌동, 광주테크노파크) 생활지원로봇센터 102-2"
올더타임,전남대학교,조상은,370-81-03114,데이터,정보통신업,광주 동구 금남로 193-22 광주AI창업캠프 1호점 310호 (금남로4가)
올라이스,전남대학교,김지명,409-86-51957,,빵류 제조업(친환경 건강 식품 제조 및 유통),"광주 북구 자미로 68-20, 1층, ㈜올라이스"
올리브온,전남대학교,양해원,401-86-02578,문화콘텐츠,전문과학기술서비스업/시각디자인,"광주 광산구 남부대길 38 8301호(남부대B.I센터) (월계동, 협동관)"
올빅뎃,조선대학교,이동재,601-88-01455,,"정보통신, 전문 과학 및 기술서비스업",
올아이원,조선대학교,김종우,490-87-03216,,"서비스,제조업",
올유니드,조선대학교,박주완,580-88-02235,,"제조,도소매",
올텍바이오코리아,전남대학교,케이나카야마,214-86-81417,메디헬스,"사료(식품첨가물)/도매,서비스","충남 천안시 동남구 청수14로 102 4층, 409호 (청당동)"
옵티시스,조선대학교,신현국,124-81-67679,,광통신부품,
옵티팜,전남대학교,김현일,124-81-75413,스마트뿌리,"서비스, 제조업","충북 청주시 흥덕구 오송읍 오송생명6로 ㈜옵티팜 (만수리, ㈜옵티팜)"
와이디산업,전남대학교,윤영동,410-86-80544,,공기 조화장치 제조업,
와이앤와이,조선대학교,황애경,230-04-02252,,정보통신업,
와이에스티,조선대학교,전영생,214-86-07396,,"통신장비, 실감미디어 콘텐츠, AI스포츠OTT",
우리원테크,전남대학교,김찬욱,414-87-01096,스마트뿌리,제조업,광주광역시 광산구 빛12로 4 (덕림동) 주식회사 우리원테크
우리이엔티,전남대학교,오재철,772-87-02220,스마트뿌리,건물 및 토목 엔지니어링 서비스업/서비스업,광주 북구 첨단연신로 45 첨단리채비즈타워 지식산업센터 B동 502호 (연제동)
우리철강,조선대학교,김옥규,135-81-96378,,"철판, 철강",
우성택시(명),조선대학교,김성묵,409-81-01132,,운수업,
우신기연,전남대학교,우동현,124-81-21557,반도체,제조업/반도체 부품 및 반도체 장비,경기도 화성시 중리북길 32 ㈜우신기연 (중동)
우영메디칼,전남대학교,이영규,128-81-25026,바이오헬스,의료용 기기 제조업,
원광전력,전남대학교,전연수,415-81-19511,,일반전기 공사업,
웨월 스튜디오,조선대학교,박지은,167-11-00600,,그림,
웰매니저,전남대학교,강시헌,683-88-03168,스마트뿌리,제조업/기타식료품제조업,전남 구례군 구례읍 백련길 34 주식회사웰매니저 (백련리)
위고마켓협동조합,전남대학교,고경윤,426-81-01501,메디헬스,도매및소매/전자상거래업,"광주 북구 삼각동 809-1 1, 2층"
위에이드,전남대학교,김대승,867-22-01103,스마트뿌리,제조업/컴퓨터,광주 북구 금남로 78 5층 (유동)
위젠트,전남대학교,염민지,797-86-01714,스마트뿌리,제조업/기계 제조업,"전남 나주시 교육길 13 제디동 4-501호 (빛가람동, 스마트파크 지식산업센터)"
위치스,전남대학교,고미아,410-86-19976,AI융복합,응용 소프트웨어 개발 및 공급업,
유니드론,전남대학교,최애라,770-86-01999,스마트뿌리,제조업,전남나주시 동강면 인동길 28
유니컴퍼니,전남대학교,양승호,246-87-01547,스마트뿌리,제조업/전자부품 및 장비,"광주 북구 첨단과기로 333 광주테크노파크 벤처지원센터 306 (대촌동, 광주테크노파크)"
유비스,전남대학교,이종춘,408-81-67577,데이터,소프트웨어자문개발/서비스,"광주 동구 동계천로 150 304 (동명로, I-PLEX)"
유비스,조선대학교,김정화,408-81-67577,,서비스,
유앤씨인터내셔널,전남대학교,"정형호, 한희준",131-86-70968,메디헬스,"의료기기, 치과재료",경기도 안산시 단원구 범지기로 106-11 (원시동) (주)유앤씨인터내셔널
유앤지,조선대학교,김영수,409-81-80762,,건설,
유엑스팩토리,전남대학교,박준영,222-87-00085,데이터,전문 과학 및 기술 서비스업,경기 성남시 수정구 청계산로 686 714-716호 (고등동)
유오케이,조선대학교,"오치훈,강성학",410-86-07747,,"서비스,제조업,도소매",
유제이엘,전남대학교,김명진,135-86-30560,,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",
유투,조선대학교,강철원,410-86-28780,,제조,
은복프라임미트,전남대학교,남명철,409-81-68434,메디헬스,"도,소매/식육외",광주 북구 하서로672번길 55 (용전동) 1층
은성트래시스,전남대학교,양국승,538-88-01948,스마트뿌리,제조업,광주 북구 첨단과기로208번길 43-10 A동 403호 (오룡동)
은혜기업,전남대학교,나용근,409-86-20207,모빌리티,자동차 차체 부품/제조업,광주 광산구 평동산단1번로 14 (용동)
의료법인한국의료재단(순천한국병원),서영대학교,박혁,416-82-10636,,의료 서비스업,
이드로경영파트너스,전남대학교,정문수,821-81-01384,문화콘텐츠,"서비스업/창업컨설팅,교육",광주광역시 북구 경열로 265 (신안동) 5층
이모션,전남대학교,김호철,402-81-87954,데이터,소프트웨어자문/서비스,전북 전주시 완산구 아중로 33 IT벤처센터 301호
이뮤닉스,조선대학교,김미은,761-10-01535,,"전문, 과학 및 기술서비스업",
이상테크,조선대학교,김선주,412-81-29849,,스타트업,
이솔,조선대학교,김병국,417-88-00899,,중소기업,
이앤시,전남대학교,이춘성,457-88-02916,스마트뿌리,제조업/ 액체여과기 제조,광주 광산구 평동산단로 225-20 3동 (옥동)
이엔에스,전남대학교,정경아,410-86-93355,스마트뿌리,"서비스, 제조업","광주 북구 추암로 249 생체의료소재부품센터 205호 (월출동, 테크노파크)"
이엔플러스,전남대학교,강태경,241-85-00909,스마트뿌리,제조업,"전북특별자치도 김제시 백산면 자유무역길 167,170 (부거리)"
이으아키텍처,전남대학교,김한울,644-88-02451,스마트뿌리,"제조업, 정보통신업",광주 서구 치평동 1306-13 2층 J
이카자,전남대학교,양소정,854-87-00674,스마트뿌리,제조업,광주 광산구 하남마항로29번길 36 2층 (하남동)
이커버스,조선대학교,조승원,531-87-02070,,정보통신업,
이켐,전남대학교,김재필,316-81-27937,스마트뿌리,제조업,전라남도 강진군 성전면 강진산단로2길 104
인구보건복지협회,기독간호대학교,이삼식,410-82-03200,,보건업 및 사회복지 서비스업,
인더스,전남대학교,정의신,659-87-02572,메디헬스,정보통신/헬스케어 디바이스 제조,광주 북구 첨단과기로208번길 43-10 A동 908호 (오룡동)3
인바이러스테크,전남대학교,박기범,617-86-28488,메디헬스,"제조 및 도소매(의료 기기 제조업, 모기 매개 바이러스 진단키트)",광주광역시 북구 용봉로 77 전남대학교 농업전문창업보육센터 201호 ㈜인바이러스테크
인비즈,조선대학교,박성철,409-86-28572,,"서비스, 정보통신업",
